Row;s_level_name;e_full_name;e_INN_code;s_sec_type_name_dop;s_sec_form_name_full;s_RTS_code;s_ISIN_code;si_gos_reg_num;si_gos_reg_date;s_face_value;s_face_value_currency;s_quot_list_in_date;s_segment;s_date_defolt;s_date_technic_defolt
28;Некотировальная часть Списка;Delphi Technologies PLC;;Акции;Акции иностранного эмитента  обыкновенные;DLPH;JE00BD85SC56;;;0,010000000000;USD;15.12.2017 0:00:00;;;
29;Некотировальная часть Списка;Energy Transfer Partners, L.P.;;Акции;Акции иностранного эмитента  обыкновенные;ETP;US29278N1037;;;;;11.12.2017 0:00:00;;;
30;Некотировальная часть Списка;Square, Inc.;;Акции;Акции иностранного эмитента  обыкновенные класса A;SQ;US8522341036;;;0,000000100000;USD;11.12.2017 0:00:00;;;
31;Некотировальная часть Списка;Palo Alto Networks, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;PANW;US6974351057;;;0,000100000000;USD;11.12.2017 0:00:00;;;
32;Некотировальная часть Списка;Gaz Capital S.A.;;Облигации;Облигации иностранного эмитента;GAZP0837;XS0316524130;;;1000,000000000000;USD;04.12.2017 0:00:00;;;
33;Некотировальная часть Списка;VTB Eurasia Designated Activity Company;;Облигации;Облигации иностранного эмитента;VTBperp;XS0810596832;;;1000,000000000000;USD;04.12.2017 0:00:00;;;
34;Некотировальная часть Списка;RSHB Capital S.A.;;Облигации;Облигации иностранного эмитента;RSHB1023;XS0979891925;;;1000,000000000000;USD;04.12.2017 0:00:00;;;
35;Некотировальная часть Списка;Societe Generale  S.A.;;Облигации;Облигации иностранного эмитента;SGENperp;USF43628B413;;;1000,000000000000;USD;04.12.2017 0:00:00;;;
36;Некотировальная часть Списка;Lennar Corporation;;Акции;Акции иностранного эмитента  обыкновенные класса B;LEN.B;US5260573028;;;0,100000000000;USD;28.11.2017 0:00:00;;;
37;Некотировальная часть Списка;Entercom Communications Corp.;;Акции;Акции иностранного эмитента  обыкновенные класса A;ETM;US2936391000;;;0,010000000000;USD;28.11.2017 0:00:00;;;
38;Некотировальная часть Списка;Bayerische Motoren Werke Aktiengesellschaft;;Акции;Акции иностранного эмитента  обыкновенные;BMW;DE0005190003;;;1,000000000000;EUR;23.11.2017 0:00:00;;;
39;Некотировальная часть Списка;Deutsche Bank Trust Company Americas;;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;MFGP;US5948373049;;;;;23.10.2017 0:00:00;;;
40;Некотировальная часть Списка;Citibank, N.A.;;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;BTI;US1104481072;;;;;29.09.2017 0:00:00;;;
41;Некотировальная часть Списка;DowDuPont Inc.;;Акции;Акции иностранного эмитента  обыкновенные;DWDP;US26078J1007;;;0,010000000000;USD;29.09.2017 0:00:00;;;
42;Некотировальная часть Списка;China Biologic Products Holdings, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;CBPO;KYG215151047;;;0,000100000000;USD;29.09.2017 0:00:00;;;
43;Некотировальная часть Списка;L3 Technologies, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;LLL;US5024131071;;;0,010000000000;USD;31.08.2017 0:00:00;;;
44;Некотировальная часть Списка;LKQ Corporation;;Акции;Акции иностранного эмитента  обыкновенные;LKQ;US5018892084;;;0,010000000000;USD;31.08.2017 0:00:00;;;
45;Некотировальная часть Списка;Alexandria Real Estate Equities, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;ARE;US0152711091;;;0,010000000000;USD;31.08.2017 0:00:00;;;
46;Некотировальная часть Списка;Huntington Bancshares Incorporated;;Акции;Акции иностранного эмитента  обыкновенные;HBAN;US4461501045;;;0,010000000000;USD;31.08.2017 0:00:00;;;
47;Некотировальная часть Списка;TechnipFMC plc;;Акции;Акции иностранного эмитента  обыкновенные;FTI;GB00BDSFG982;;;1,000000000000;USD;31.08.2017 0:00:00;;;
48;Некотировальная часть Списка;Cboe Global Markets, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;CBOE;US12503M1080;;;0,010000000000;USD;31.08.2017 0:00:00;;;
49;Некотировальная часть Списка;Global Payments Inc.;;Акции;Акции иностранного эмитента  обыкновенные;GPN;US37940X1028;;;;;31.08.2017 0:00:00;;;
50;Некотировальная часть Списка;Mid-America Apartment Communities, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;MAA;US59522J1034;;;0,010000000000;USD;31.08.2017 0:00:00;;;
51;Некотировальная часть Списка;Torchmark Corporation;;Акции;Акции иностранного эмитента  обыкновенные;TMK;US8910271043;;;1,000000000000;USD;31.08.2017 0:00:00;;;
52;Некотировальная часть Списка;Synopsys, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;SNPS;US8716071076;;;0,010000000000;USD;31.08.2017 0:00:00;;;
53;Некотировальная часть Списка;Johnson Controls International plc;;Акции;Акции иностранного эмитента  обыкновенные;JCI;IE00BY7QL619;;;0,010000000000;USD;31.08.2017 0:00:00;;;
54;Некотировальная часть Списка;Raymond James Financial, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;RJF;US7547301090;;;0,010000000000;USD;31.08.2017 0:00:00;;;
55;Некотировальная часть Списка;Digital Realty Trust, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;DLR;US2538681030;;;0,010000000000;USD;31.08.2017 0:00:00;;;
56;Некотировальная часть Списка;Align Technology, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;ALGN;US0162551016;;;0,000100000000;USD;31.08.2017 0:00:00;;;
57;Некотировальная часть Списка;Alaska Air Group, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;ALK;US0116591092;;;0,010000000000;USD;31.08.2017 0:00:00;;;
58;Некотировальная часть Списка;Ameren Corporation;;Акции;Акции иностранного эмитента  обыкновенные;AEE;US0236081024;;;0,010000000000;USD;31.08.2017 0:00:00;;;
59;Некотировальная часть Списка;Regency Centers Corporation;;Акции;Акции иностранного эмитента  обыкновенные;REG;US7588491032;;;0,010000000000;USD;31.08.2017 0:00:00;;;
60;Некотировальная часть Списка;Everest Re Group, Ltd.;;Акции;Акции иностранного эмитента  обыкновенные;RE;BMG3223R1088;;;0,010000000000;USD;31.08.2017 0:00:00;;;
61;Некотировальная часть Списка;Foot Locker, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;FL;US3448491049;;;0,010000000000;USD;31.08.2017 0:00:00;;;
62;Некотировальная часть Списка;Arthur J. Gallagher & Co.;;Акции;Акции иностранного эмитента  обыкновенные;AJG;US3635761097;;;1,000000000000;USD;31.08.2017 0:00:00;;;
63;Некотировальная часть Списка;TransDigm Group Incorporated;;Акции;Акции иностранного эмитента  обыкновенные;TDG;US8936411003;;;0,010000000000;USD;31.08.2017 0:00:00;;;
64;Некотировальная часть Списка;Albemarle Corporation;;Акции;Акции иностранного эмитента  обыкновенные;ALB;US0126531013;;;0,010000000000;USD;31.08.2017 0:00:00;;;
65;Некотировальная часть Списка;Charter Communications, Inc.;;Акции;Акции иностранного эмитента  обыкновенные класса A;CHTR;US16119P1084;;;0,001000000000;USD;31.08.2017 0:00:00;;;
66;Некотировальная часть Списка;Vornado Realty Trust;;Акции;Акции иностранного эмитента  обыкновенные;VNO;US9290421091;;;0,040000000000;USD;31.08.2017 0:00:00;;;
67;Некотировальная часть Списка;Coty Inc.;;Акции;Акции иностранного эмитента  обыкновенные класса A;COTY;US2220702037;;;0,010000000000;USD;31.08.2017 0:00:00;;;
68;Некотировальная часть Списка;Alliant Energy Corporation;;Акции;Акции иностранного эмитента  обыкновенные;LNT;US0188021085;;;0,010000000000;USD;31.08.2017 0:00:00;;;
69;Некотировальная часть Списка;Centene Corporation;;Акции;Акции иностранного эмитента  обыкновенные;CNC;US15135B1017;;;0,001000000000;USD;31.08.2017 0:00:00;;;
70;Некотировальная часть Списка;Consolidated Edison, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;ED;US2091151041;;;0,100000000000;USD;31.08.2017 0:00:00;;;
71;Некотировальная часть Списка;S&P Global Inc.;;Акции;Акции иностранного эмитента  обыкновенные;SPGI;US78409V1044;;;1,000000000000;USD;31.08.2017 0:00:00;;;
72;Некотировальная часть Списка;Brighthouse Financial, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;BHF;US10922N1037;;;0,010000000000;USD;31.08.2017 0:00:00;;;
73;Некотировальная часть Списка;Mettler-Toledo International Inc.;;Акции;Акции иностранного эмитента  обыкновенные;MTD;US5926881054;;;0,010000000000;USD;31.08.2017 0:00:00;;;
74;Некотировальная часть Списка;Acuity Brands, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;AYI;US00508Y1029;;;0,010000000000;USD;31.08.2017 0:00:00;;;
75;Некотировальная часть Списка;The Cooper Companies, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;COO;US2166484020;;;0,100000000000;USD;31.08.2017 0:00:00;;;
76;Некотировальная часть Списка;Incyte Corporation;;Акции;Акции иностранного эмитента  обыкновенные;INCY;US45337C1027;;;0,001000000000;USD;31.08.2017 0:00:00;;;
77;Некотировальная часть Списка;IHS Markit Ltd.;;Акции;Акции иностранного эмитента  обыкновенные;INFO;BMG475671050;;;0,010000000000;USD;31.08.2017 0:00:00;;;
78;Некотировальная часть Списка;Gartner, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;IT;US3666511072;;;0,000500000000;USD;31.08.2017 0:00:00;;;
79;Некотировальная часть Списка;Under Armour, Inc.;;Акции;Акции иностранного эмитента  обыкновенные класса C;UA;US9043112062;;;0,000333000000;USD;31.08.2017 0:00:00;;;
80;Некотировальная часть Списка;The Goldman Sachs Group, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;GS;US38141G1040;;;0,010000000000;USD;31.08.2017 0:00:00;;;
81;Некотировальная часть Списка;Advanced Micro Devices, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;AMD;US0079031078;;;0,010000000000;USD;31.08.2017 0:00:00;;;
82;Некотировальная часть Списка;Willis Towers Watson Public Limited Company;;Акции;Акции иностранного эмитента  обыкновенные;WLTW;IE00BDB6Q211;;;0,000304635000;USD;31.08.2017 0:00:00;;;
83;Некотировальная часть Списка;Frontier Communications Corporation;;Акции;Акции иностранного эмитента  обыкновенные;FTR;US35906A3068;;;0,250000000000;USD;31.08.2017 0:00:00;;;
84;Некотировальная часть Списка;Envision Healthcare Corporation;;Акции;Акции иностранного эмитента  обыкновенные;EVHC;US29414D1000;;;0,010000000000;USD;31.08.2017 0:00:00;;;
85;Некотировальная часть Списка;Hologic, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;HOLX;US4364401012;;;0,010000000000;USD;31.08.2017 0:00:00;;;
86;Некотировальная часть Списка;IDEXX Laboratories, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;IDXX;US45168D1046;;;0,100000000000;USD;31.08.2017 0:00:00;;;
87;Некотировальная часть Списка;Ulta Beauty, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;ULTA;US90384S3031;;;0,010000000000;USD;31.08.2017 0:00:00;;;
88;Некотировальная часть Списка;Fortune Brands Home & Security, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;FBHS;US34964C1062;;;0,010000000000;USD;31.08.2017 0:00:00;;;
89;Некотировальная часть Списка;Hilton Worldwide Holdings Inc.;;Акции;Акции иностранного эмитента  обыкновенные;HLT;US43300A2033;;;0,010000000000;USD;31.08.2017 0:00:00;;;
90;Некотировальная часть Списка;DXC Technology Company;;Акции;Акции иностранного эмитента  обыкновенные;DXC;US23355L1061;;;0,010000000000;USD;31.08.2017 0:00:00;;;
91;Некотировальная часть Списка;Fortive Corporation;;Акции;Акции иностранного эмитента  обыкновенные;FTV;US34959J1088;;;0,010000000000;USD;31.08.2017 0:00:00;;;
92;Некотировальная часть Списка;ANSYS, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;ANSS;US03662Q1058;;;0,010000000000;USD;31.08.2017 0:00:00;;;
93;Некотировальная часть Списка;Unum Group;;Акции;Акции иностранного эмитента  обыкновенные;UNM;US91529Y1064;;;0,100000000000;USD;31.08.2017 0:00:00;;;
94;Некотировальная часть Списка;Общество с ограниченной ответственностью  «Авиатерминал»;2702090418;Облигации;Облигации биржевые;KHTL02;;4B04-02-36518-R;28.08.2017 0:00:00;1000,000000000000;RUB;28.08.2017 0:00:00;Восход;;
95;Некотировальная часть Списка;Baker Hughes, a GE company;;Акции;Акции иностранного эмитента  обыкновенные класса A;BHGE;US05722G1004;;;0,000100000000;USD;07.07.2017 0:00:00;;;
96;Некотировальная часть Списка;LUKOIL International Finance B.V.;;Облигации;Облигации иностранного эмитента;LUK1120;XS0554659671;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
97;Некотировальная часть Списка;SB Capital S.A.;;Облигации;Облигации иностранного эмитента;SBER0222;XS0743596040;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
98;Некотировальная часть Списка;LUKOIL International Finance B.V.;;Облигации;Облигации иностранного эмитента;LUK0423;XS0919504562;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
99;Некотировальная часть Списка;RZD Capital P.L.C.;;Облигации;Облигации иностранного эмитента;RZD0422;XS0764220017;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
100;Некотировальная часть Списка;VEON Holdings B.V.;;Облигации;Облигации иностранного эмитента;VIMP0223;XS0889401724;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
101;Некотировальная часть Списка;GTLK Europe Designated Activity Company;;Облигации;Облигации иностранного эмитента;GTLK0721;XS1449458915;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
102;Некотировальная часть Списка;Steel Funding Designated Activity Company;;Облигации;Облигации иностранного эмитента;STLF0623;XS1405775617;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
103;Некотировальная часть Списка;RZD Capital P.L.C.;;Облигации;Облигации иностранного эмитента;RZD1020;XS1501561739;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
104;Некотировальная часть Списка;VIP Finance Ireland Designated Activity Company;;Облигации;Облигации иностранного эмитента;VIP0221;XS0587031096;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
105;Некотировальная часть Списка;EuroChem Global Investments Designated Activity Company;;Облигации;Облигации иностранного эмитента;EVRC0420;XS1495632298;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
106;Некотировальная часть Списка;DME Airport Designated Activity Company;;Облигации;Облигации иностранного эмитента;DME1121;XS1516324321;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
107;Некотировальная часть Списка;RZD Capital P.L.C.;;Облигации;Облигации иностранного эмитента;RZD0324;XS1574068844;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
108;Некотировальная часть Списка;Steel Capital S.A.;;Облигации;Облигации иностранного эмитента;STLC0821;XS1567051443;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
109;Некотировальная часть Списка;Evraz Group S.A.;;Облигации;Облигации иностранного эмитента;EVRZ0323;XS1533915721;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
110;Некотировальная часть Списка;Polyus Finance Plc;;Облигации;Облигации иностранного эмитента;PLZL0223;XS1533922933;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
111;Некотировальная часть Списка;Polyus Finance Plc;;Облигации;Облигации иностранного эмитента;PLZL0322;XS1405766384;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
112;Некотировальная часть Списка;LUKOIL International Finance B.V.;;Облигации;Облигации иностранного эмитента;LUK1126;XS1514045886;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
113;Некотировальная часть Списка;SCF Capital Designated Activity Company;;Облигации;Облигации иностранного эмитента;SCFL0623;XS1433454243;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
114;Некотировальная часть Списка;Gaz Capital S.A.;;Облигации;Облигации иностранного эмитента;GAZP0327;XS1585190389;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
115;Некотировальная часть Списка;ALROSA Finance S.A.;;Облигации;Облигации иностранного эмитента;ALRS1120;XS0555493203;;;1000,000000000000;USD;30.06.2017 0:00:00;;;
116;Некотировальная часть Списка;Акционерное общество "Банк Астаны";;Акции;Акции иностранного эмитента  обыкновенные;ABBN;KZ1C00001023;;;1000,000000000000;KZT;20.06.2017 0:00:00;;;
117;Некотировальная часть Списка;Xerox Corporation;;Акции;Акции иностранного эмитента  обыкновенные;XRX;US9841216081;;;1,000000000000;USD;15.06.2017 0:00:00;;;
118;Некотировальная часть Списка;JPMorgan Chase Bank, N.A.;;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;MBT;US6074091090;;;;;25.05.2017 0:00:00;;;
119;Некотировальная часть Списка;The Bank of New York Mellon;;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;VEON;US91822M1062;;;;;25.05.2017 0:00:00;;;
120;Некотировальная часть Списка;VTB Capital S.A.;;Облигации;Облигации иностранного эмитента;VTB1020;XS0548633659;;;1000,000000000000;USD;14.04.2017 0:00:00;;;
121;Некотировальная часть Списка;Novatek Finance Designated Activity Company;;Облигации;Облигации иностранного эмитента;NVTK0221;XS0588433267;;;1000,000000000000;USD;14.04.2017 0:00:00;;;
122;Некотировальная часть Списка;Alcoa Corporation;;Акции;Акции иностранного эмитента  обыкновенные;AA;US0138721065;;;0,010000000000;USD;22.11.2016 0:00:00;;;
123;Некотировальная часть Списка;Urban Outfitters, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;URBN;US9170471026;;;0,000100000000;USD;17.11.2016 0:00:00;;;
124;Некотировальная часть Списка;Hanesbrands Inc.;;Акции;Акции иностранного эмитента  обыкновенные;HBI;US4103451021;;;0,010000000000;USD;17.11.2016 0:00:00;;;
125;Некотировальная часть Списка;AutoZone, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;AZO;US0533321024;;;0,010000000000;USD;17.11.2016 0:00:00;;;
126;Некотировальная часть Списка;Under Armour, Inc.;;Акции;Акции иностранного эмитента  обыкновенные класса A;UAA;US9043111072;;;0,000333000000;USD;17.11.2016 0:00:00;;;
127;Некотировальная часть Списка;Nordstrom, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;JWN;US6556641008;;;;;17.11.2016 0:00:00;;;
128;Некотировальная часть Списка;Regions Financial Corporation;;Акции;Акции иностранного эмитента  обыкновенные;RF;US7591EP1005;;;0,010000000000;USD;17.11.2016 0:00:00;;;
129;Некотировальная часть Списка;Endo International PLC;;Акции;Акции иностранного эмитента  обыкновенные;ENDP;IE00BJ3V9050;;;0,000100000000;USD;17.11.2016 0:00:00;;;
130;Некотировальная часть Списка;Macy's, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;M;US55616P1049;;;0,010000000000;USD;17.11.2016 0:00:00;;;
131;Некотировальная часть Списка;U.S. Bancorp;;Акции;Акции иностранного эмитента  обыкновенные;USB;US9029733048;;;0,010000000000;USD;17.11.2016 0:00:00;;;
132;Некотировальная часть Списка;Constellation Brands, Inc.;;Акции;Акции иностранного эмитента  обыкновенные класса A;STZ;US21036P1084;;;0,010000000000;USD;17.11.2016 0:00:00;;;
133;Некотировальная часть Списка;CarMax, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;KMX;US1431301027;;;0,500000000000;USD;17.11.2016 0:00:00;;;
134;Некотировальная часть Списка;Newell Brands Inc.;;Акции;Акции иностранного эмитента  обыкновенные;NWL;US6512291062;;;1,000000000000;USD;17.11.2016 0:00:00;;;
135;Некотировальная часть Списка;Aptiv PLC ;;Акции;Акции иностранного эмитента  обыкновенные;APTV;JE00B783TY65;;;0,010000000000;USD;17.11.2016 0:00:00;;;
136;Некотировальная часть Списка;Western Digital Corporation;;Акции;Акции иностранного эмитента  обыкновенные;WDC;US9581021055;;;0,010000000000;USD;17.11.2016 0:00:00;;;
137;Некотировальная часть Списка;GGP Inc.;;Акции;Акции иностранного эмитента  обыкновенные;GGP;US36174X1019;;;0,010000000000;USD;17.11.2016 0:00:00;;;
138;Некотировальная часть Списка;DENTSPLY SIRONA Inc.;;Акции;Акции иностранного эмитента  обыкновенные;XRAY;US24906P1093;;;0,010000000000;USD;17.11.2016 0:00:00;;;
139;Некотировальная часть Списка;Signet Jewelers Limited;;Акции;Акции иностранного эмитента  обыкновенные;SIG;BMG812761002;;;0,180000000000;USD;17.11.2016 0:00:00;;;
140;Некотировальная часть Списка;State Street Corporation;;Акции;Акции иностранного эмитента  обыкновенные;STT;US8574771031;;;1,000000000000;USD;17.11.2016 0:00:00;;;
141;Некотировальная часть Списка;Alliance Data Systems Corporation;;Акции;Акции иностранного эмитента  обыкновенные;ADS;US0185811082;;;0,010000000000;USD;17.11.2016 0:00:00;;;
142;Некотировальная часть Списка;CMS Energy Corporation;;Акции;Акции иностранного эмитента  обыкновенные;CMS;US1258961002;;;0,010000000000;USD;17.11.2016 0:00:00;;;
143;Некотировальная часть Списка;Darden Restaurants, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;DRI;US2371941053;;;;;17.11.2016 0:00:00;;;
144;Некотировальная часть Списка;Raytheon Company;;Акции;Акции иностранного эмитента  обыкновенные;RTN;US7551115071;;;0,010000000000;USD;17.11.2016 0:00:00;;;
145;Некотировальная часть Списка;Booking Holdings Inc.;;Акции;Акции иностранного эмитента  обыкновенные;BKNG;US09857L1089;;;0,008000000000;USD;17.11.2016 0:00:00;;;
146;Некотировальная часть Списка;Equinix, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;EQIX;US29444U7000;;;0,001000000000;USD;17.11.2016 0:00:00;;;
147;Некотировальная часть Списка;Leggett & Platt, Incorporated;;Акции;Акции иностранного эмитента  обыкновенные;LEG;US5246601075;;;0,010000000000;USD;17.11.2016 0:00:00;;;
148;Некотировальная часть Списка;Genuine Parts Company;;Акции;Акции иностранного эмитента  обыкновенные;GPC;US3724601055;;;1,000000000000;USD;17.11.2016 0:00:00;;;
149;Некотировальная часть Списка;Expedia Group, Inc.;;Акции;Акции иностранного эмитента  обыкновенные;EXPE;US30212P3038;;;0,000100000000;USD;17.11.2016 0:00:00;;;
150;Некотировальная часть Списка;Kimco Realty Corporation;;Акции;Акции иностранного эмитента  обыкновенные;KIM;US49446R1095;;;0,010000000000;USD;17.11.2016 0:00:00;;;
151;Некотировальная часть Списка;Humana Inc.;;Акции;Акции иностранного эмитента  обыкновенные;HUM;US4448591028;;;0,166600000000;USD;17.11.2016 0:00:00;;;
